year,code,name,region,price_usd
2010,USA,United States,americas,3.34
2011,USA,United States,americas,3.64
2012,USA,United States,americas,3.81
2013,USA,United States,americas,4.14
2014,USA,United States,americas,4.29
2015,USA,United States,americas,4.52
2016,USA,United States,americas,4.39
2017,USA,United States,americas,4.66
2018,USA,United States,americas,4.65
2019,USA,United States,americas,4.86
2020,USA,United States,americas,5.12
2021,USA,United States,americas,5.05
2022,USA,United States,americas,5.26
2023,USA,United States,americas,5.59
2024,USA,United States,americas,5.68
2025,USA,United States,americas,5.66
2010,CHE,Switzerland,europe,5.02
2011,CHE,Switzerland,europe,5.0
2012,CHE,Switzerland,europe,5.59
2013,CHE,Switzerland,europe,5.77
2014,CHE,Switzerland,europe,5.83
2015,CHE,Switzerland,europe,5.94
2016,CHE,Switzerland,europe,6.55
2017,CHE,Switzerland,europe,6.43
2018,CHE,Switzerland,europe,6.49
2019,CHE,Switzerland,europe,6.68
2020,CHE,Switzerland,europe,7.29
2021,CHE,Switzerland,europe,7.33
2022,CHE,Switzerland,europe,7.64
2023,CHE,Switzerland,europe,7.78
2024,CHE,Switzerland,europe,7.84
2025,CHE,Switzerland,europe,8.29
2010,JPN,Japan,asia,2.09
2011,JPN,Japan,asia,2.24
2012,JPN,Japan,asia,2.29
2013,JPN,Japan,asia,2.41
2014,JPN,Japan,asia,2.43
2015,JPN,Japan,asia,2.52
2016,JPN,Japan,asia,2.46
2017,JPN,Japan,asia,2.56
2018,JPN,Japan,asia,2.64
2019,JPN,Japan,asia,2.65
2020,JPN,Japan,asia,2.75
2021,JPN,Japan,asia,2.78
2022,JPN,Japan,asia,2.88
2023,JPN,Japan,asia,3.02
2024,JPN,Japan,asia,3.02
2025,JPN,Japan,asia,3.08
2010,BRA,Brazil,americas,2.85
2011,BRA,Brazil,americas,3.12
2012,BRA,Brazil,americas,3.14
2013,BRA,Brazil,americas,3.22
2014,BRA,Brazil,americas,3.18
2015,BRA,Brazil,americas,3.41
2016,BRA,Brazil,americas,3.33
2017,BRA,Brazil,americas,3.46
2018,BRA,Brazil,americas,3.7
2019,BRA,Brazil,americas,3.67
2020,BRA,Brazil,americas,3.72
2021,BRA,Brazil,americas,3.82
2022,BRA,Brazil,americas,3.94
2023,BRA,Brazil,americas,3.98
2024,BRA,Brazil,americas,3.88
2025,BRA,Brazil,americas,3.88
2010,GBR,Britain,europe,3.86
2011,GBR,Britain,europe,4.02
2012,GBR,Britain,europe,4.41
2013,GBR,Britain,europe,4.52
2014,GBR,Britain,europe,4.45
2015,GBR,Britain,europe,4.7
2016,GBR,Britain,europe,4.72
2017,GBR,Britain,europe,5.03
2018,GBR,Britain,europe,4.97
2019,GBR,Britain,europe,5.0
2020,GBR,Britain,europe,5.1
2021,GBR,Britain,europe,5.34
2022,GBR,Britain,europe,5.31
2023,GBR,Britain,europe,5.56
2024,GBR,Britain,europe,5.8
2025,GBR,Britain,europe,5.68
2010,CHN,China,asia,2.63
2011,CHN,China,asia,2.63
2012,CHN,China,asia,2.62
2013,CHN,China,asia,2.68
2014,CHN,China,asia,2.76
2015,CHN,China,asia,2.95
2016,CHN,China,asia,3.05
2017,CHN,China,asia,3.03
2018,CHN,China,asia,3.0
2019,CHN,China,asia,3.14
2020,CHN,China,asia,3.36
2021,CHN,China,asia,3.3
2022,CHN,China,asia,3.47
2023,CHN,China,asia,3.5
2024,CHN,China,asia,3.33
2025,CHN,China,asia,3.58
2010,ARG,Argentina,americas,4.12
2011,ARG,Argentina,americas,4.31
2012,ARG,Argentina,americas,4.67
2013,ARG,Argentina,americas,4.68
2014,ARG,Argentina,americas,5.01
2015,ARG,Argentina,americas,5.21
2016,ARG,Argentina,americas,5.61
2017,ARG,Argentina,americas,5.76
2018,ARG,Argentina,americas,5.66
2019,ARG,Argentina,americas,5.95
2020,ARG,Argentina,americas,5.97
2021,ARG,Argentina,americas,6.5
2022,ARG,Argentina,americas,6.65
2023,ARG,Argentina,americas,6.52
2024,ARG,Argentina,americas,6.87
2025,ARG,Argentina,americas,7.01
2010,TWN,Taiwan,asia,1.8
2011,TWN,Taiwan,asia,1.83
2012,TWN,Taiwan,asia,1.92
2013,TWN,Taiwan,asia,1.93
2014,TWN,Taiwan,asia,1.89
2015,TWN,Taiwan,asia,1.98
2016,TWN,Taiwan,asia,1.97
2017,TWN,Taiwan,asia,2.16
2018,TWN,Taiwan,asia,2.19
2019,TWN,Taiwan,asia,2.22
2020,TWN,Taiwan,asia,2.17
2021,TWN,Taiwan,asia,2.16
2022,TWN,Taiwan,asia,2.35
2023,TWN,Taiwan,asia,2.4
2024,TWN,Taiwan,asia,2.27
2025,TWN,Taiwan,asia,2.38
2010,EUZ,Euro area,europe,4.69
2011,EUZ,Euro area,europe,4.83
2012,EUZ,Euro area,europe,4.7
2013,EUZ,Euro area,europe,4.93
2014,EUZ,Euro area,europe,5.06
2015,EUZ,Euro area,europe,5.03
